Brand,ModelId,Price,ProductURL,Description
Nearly Natural,W1179,90.77,https://www.lowes.com/pd/Nearly-Natural-2-5-ft-30-in-Sunflowers-Artificial-Wreath/5013548481,2.5-ft 30-in Sunflowers Artificial Wreath
Nearly Natural,W1192,86.7,https://www.lowes.com/pd/Nearly-Natural-2-5-ft-30-in-Pumpkin-Artificial-Wreath/5013823393,2.5-ft 30-in Pumpkin Artificial Wreath
Nearly Natural,W1122,80.35,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Harvest-Artificial-Wreath/5013823171,2-ft 24-in Harvest Artificial Wreath
Nearly Natural,4494,31.95,https://www.lowes.com/pd/Nearly-Natural-36-in-Autumn-Magnolia-Leaf-with-Berries-Artificial-Tear-Drop/1003258844,3-ft 5-in Leaves Artificial Swag
National Tree Company,HC7-104L-36W,86.98,https://www.lowes.com/pd/National-Tree-Company/5004299049,3-ft 36-in Pre-lit Electrical Outlet Harvest Artificial Wreath
Nearly Natural,4278,65.43,https://www.lowes.com/pd/Nearly-Natural-25-in-Sorghum-Harvest-Artificial-Wreath/1003202026,2-ft 25-in Leaves Artificial Wreath
Northlight,35762343,46.98,https://www.lowes.com/pd/Northlight-5-ft-Harvest-Artificial-Garland/5015205637,5-ft Harvest Artificial Garland
Worth Imports,9980,27.98,https://www.lowes.com/pd/Worth-Imports-1-25-ft-15-in-Berries-Artificial-Wreath/5015354963,1.25-ft 15-in Berries Artificial Wreath
Sullivans,WGGD BLK,45.0,https://www.lowes.com/pd/Sullivans-6-ft-Harvest-Artificial-Garland/5015377445,6-ft Harvest Artificial Garland
Nearly Natural,4902,87.2,https://www.lowes.com/pd/Nearly-Natural-24-in-Pumpkin-Artificial-Wreath/5013823281,24-in Pumpkin Artificial Wreath
Worth Imports,5630,19.27,https://www.lowes.com/pd/Worth-Imports-80-in-Natural-Nuts-and-Cone-Garland/5000032075,6-ft Nuts Artificial Garland
Nearly Natural,4495,40.42,https://www.lowes.com/pd/Nearly-Natural-6-ft-Autumn-Magnolia-Leaf-with-Berries-Artificial-Garland/1003258846,6-ft 3-in Leaves Artificial Garland
Sullivans,MIF4,26.98,https://www.lowes.com/pd/Sullivans-1-2-ft-14-5-in-Harvest-Artificial-Wreath/5015377393,1.2-ft Harvest Artificial Wreath
Worth Imports,9990,48.48,https://www.lowes.com/pd/Worth-Imports-1-41-ft-17-in-Pumpkin-Artificial-Wreath/5015355121,1.41-ft 17-in Pumpkin Artificial Wreath
Northlight,34141521,56.48,https://www.lowes.com/pd/Northlight-24-in-Orange-Autumn-Harvest-Thanksgiving-Foliage-Wreath-with-Pumpkin-Sunflower-Berries-and-Pine-Cones-Artificial-Twig-Backing/5013801563,"24 in. Orange Autumn Harvest Thanksgiving Foliage Wreath with Pumpkin, Sunflower, Berries, and Pine Cones - Artificial Twig Backing"
Nearly Natural,4472,47.05,https://www.lowes.com/pd/Nearly-Natural-20-in-Harvest-Leaf-and-Mini-Pumpkin-Artificial-Wreath/1003258838,2-ft 20-in Leaves Artificial Wreath
Nearly Natural,W1230,51.95,https://www.lowes.com/pd/Nearly-Natural-6-ft-Harvest-Artificial-Garland/5013823169,6-ft Harvest Artificial Garland
Northlight,33530749,27.89,https://www.lowes.com/pd/Northlight-0-5-ft-10-in-Harvest-Artificial-Wreath/5015205649,0.5-ft 10-in Harvest Artificial Wreath
Worth Imports,9991,60.48,https://www.lowes.com/pd/Worth-Imports-1-75-ft-21-in-Leaves-Artificial-Wreath/5015355055,1.75-ft 21-in Leaves Artificial Wreath
National Tree Company,RAHV-DA102W-1,44.88,https://www.lowes.com/pd/National-Tree-Company-2-ft-22-in-Harvest-Artificial-Wreath/5014645887,2-ft 22-in Harvest Artificial Wreath
National Tree Company,RAHV-W060630A,39.98,https://www.lowes.com/pd/National-Tree-Company/5004301637,1.83-ft 22-in Sunflowers Artificial Wreath
Nearly Natural,W1127,40.91,https://www.lowes.com/pd/Nearly-Natural-21-in-Autumn-Fern-Artificial-Wreath/1003258866,1.8-ft 21-in Leaves Artificial Wreath
Worth Imports,7707,39.99,https://www.lowes.com/pd/Worth-Imports-36-in-Fall-Maple-Leaf-Swag-W-Pumpkin/5000137901,3-ft Gourd Artificial Swag
Northlight,34315256,37.98,https://www.lowes.com/pd/Northlight-0-92-ft-20-in-Harvest-Artificial-Wreath/5015205703,0.92-ft 20-in Harvest Artificial Wreath
Nearly Natural,W1241,36.61,https://www.lowes.com/pd/Nearly-Natural-2-8-ft-Pumpkin-Artificial-Swag/5013823411,2.8-ft Pumpkin Artificial Swag
Worth Imports,9139,34.48,https://www.lowes.com/pd/Worth-Imports-6-ft-Leaves-Artificial-Garland/5015355065,6-ft Leaves Artificial Garland
Worth Imports,9900,31.98,https://www.lowes.com/pd/Worth-Imports-Fall-15-Pine-Cone-And-Wood-Curl-Wreath/5002009407,1.25-ft 15-in Harvest Artificial Wreath
Sullivans,BRE4,28.98,https://www.lowes.com/pd/Sullivans-1-3-ft-15-in-Harvest-Artificial-Wreath/5015377359,1.3-ft 15-in Harvest Artificial Wreath
Sullivans,MXFA4,26.98,https://www.lowes.com/pd/Sullivans-1-ft-12-in-Leaves-Artificial-Wreath/5015161813,1-ft 12-in Leaves Artificial Wreath
Worth Imports,7779,23.99,https://www.lowes.com/pd/Worth-Imports-20-in-Maple-Leaf-and-Berry-Wreath/5000205253,1.8-ft 20-in Leaves Artificial Wreath
Fraser Hill Farm,FF108HVGL002-0MLT,40.16,https://www.lowes.com/pd/Fraser-Hill-Farm-Indoor-or-Outdoor-9-ft-Mixed-Green-Garland-with-Pink/5001425175,9-ft Fruit Artificial Garland
Worth Imports,7147,35.0,https://www.lowes.com/pd/Worth-Imports-60-in-Bittersweet-Garland/5000110691,5-ft Pumpkin Artificial Garland
Worth Imports,3284,49.12,https://www.lowes.com/pd/Worth-Imports-24-in-Cotton-W-L-V-S-Wreath/5000215063,24-in Multi Color Cotton Wreath - Artificial Fall Wreath for Thanksgiving - Indoor Use - Great for Door or Wall Decoration
Nearly Natural,W1243,59.38,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Harvest-Artificial-Wreath/5013823247,2-ft 24-in Harvest Artificial Wreath
Worth Imports,9987,45.0,https://www.lowes.com/pd/Worth-Imports-2-08-ft-Pumpkin-Artificial-Swag/5015355179,2.08-ft Pumpkin Artificial Swag
Northlight,35182617,74.98,https://www.lowes.com/pd/Northlight-1-83-ft-22-in-Harvest-Artificial-Wreath/5015205563,1.83-ft 22-in Harvest Artificial Wreath
NA,MFGWF5209X24X,38.99,https://www.lowes.com/pd/24-inch-Wreath-with-Oak-Leaves-and-Corn-Husks/5015731173,24 inch Wreath with Oak Leaves and Corn Husks
National Tree Company,RAHV-0AW060751A,68.98,https://www.lowes.com/pd/National-Tree-Company-2-ft-24-in-Harvest-Artificial-Wreath/5014645859,2-ft 24-in Harvest Artificial Wreath
Nearly Natural,W1180,74.63,https://www.lowes.com/pd/Nearly-Natural-2-5-ft-30-in-Harvest-Artificial-Wreath/5013548339,2.5-ft 30-in Harvest Artificial Wreath
Northlight,33532675,80.98,https://www.lowes.com/pd/Northlight-24-in-Green-Autumn-Harvest-Artificial-Thanksgiving-Wreath-with-Pumpkins-and-Gourds-Indoor-Use/5013801335,24 in. Green Autumn Harvest Artificial Thanksgiving Wreath with Pumpkins and Gourds - Indoor Use
Worth Imports,9140,79.48,https://www.lowes.com/pd/Worth-Imports-6-ft-Pumpkin-Artificial-Garland/5015355005,6-ft Pumpkin Artificial Garland
Gerson International,2539950EC,53.98,https://www.lowes.com/pd/Gerson-International-22-in-Diameter-Harvest-Wreath-with-Fall-Flowers-and-Berries/1003252376,1.83-ft 22-in Berries Artificial Wreath
Northlight,35644463,85.48,https://www.lowes.com/pd/Northlight-24-in-Green-Indoor-Hanging-Artificial-Wreath/5014356695,"24 in. Green Artificial Fall Wreath with Hellebores, Ivy, Succulents, Astilbe, and Christmas Roses - Indoor Thanksgiving Decoration"
Northlight,32257217,27.48,https://www.lowes.com/pd/Northlight-26-Autumn-Harvest-Berries-and-Pumpkin-Artificial-Teardrop-Swag/5005581955,0.83-ft Berries Artificial Swag
Glitzhome,2029800002,30.48,https://www.lowes.com/pd/Glitzhome-Handmade-Fall-Thanksgiving-Artificial-Garland-Multi-Colored-11-Balls-3-07-in-Diameter-Indoor-Use-Thanksgiving-Decor/5013583283,"Handmade Fall Thanksgiving Artificial Garland - Multi-Colored, 11 Balls, 3.07 in Diameter, Indoor Use, Thanksgiving Decor"
Northlight,34303452,65.69,https://www.lowes.com/pd/Northlight-2-67-ft-32-in-Harvest-Artificial-Wreath/5015205589,2.67-ft 32-in Harvest Artificial Wreath
Worth Imports,9978,73.98,https://www.lowes.com/pd/Worth-Imports-1-83-ft-22-in-Pumpkin-Artificial-Wreath/5015355081,1.83-ft 22-in Pumpkin Artificial Wreath
Sullivans,02299WR,31.98,https://www.lowes.com/pd/Sullivans-2-ft-24-in-Leaves-Artificial-Wreath/5015161581,1.4-ft Leaves Artificial Wreath
Northlight,34868427,51.98,https://www.lowes.com/pd/Northlight-5-ft-Harvest-Artificial-Garland/5015205657,5-ft Harvest Artificial Garland
Worth Imports,9970,94.98,https://www.lowes.com/pd/Worth-Imports-2-ft-24-in-Pumpkin-Artificial-Wreath/5014595005,2-ft 24-in Pumpkin Artificial Wreath
Northlight,34868419,70.98,https://www.lowes.com/pd/Northlight-0-5-ft-24-in-Harvest-Artificial-Wreath/5015205663,0.5-ft 24-in Harvest Artificial Wreath
Nearly Natural,4497,47.31,https://www.lowes.com/pd/Nearly-Natural-6ft-Autumn-Magnolia-Leaf-and-Berries-Artificial-Garland/1003258848,6-ft 4-in Leaves Artificial Garland
Nearly Natural,W1184,72.44,https://www.lowes.com/pd/Nearly-Natural-2-5-ft-30-in-Pumpkin-Artificial-Wreath/5013823199,2.5-ft 30-in Pumpkin Artificial Wreath
Nearly Natural,W1232,58.94,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Leaves-Artificial-Wreath/5013823401,2-ft 24-in Leaves Artificial Wreath
Nearly Natural,W1231,35.47,https://www.lowes.com/pd/Nearly-Natural-2-9-ft-Leaves-Artificial-Swag/5013823387,2.9-ft Leaves Artificial Swag
Puleo International,305-1390A-W30,135.0,https://www.lowes.com/pd/Puleo-International-2-5-ft-30-in-Artificial-Wreath/5012907389,2.5-ft 30-in Artificial Wreath
Nearly Natural,4474,38.75,https://www.lowes.com/pd/Nearly-Natural-24-in-Fatsia-with-Berries-Autumn-Artificial-Wreath/1003258842,2-ft 24-in Berries Artificial Wreath
National Tree Company,RAHV-0KW061029A,65.98,https://www.lowes.com/pd/National-Tree-Company-2-ft-22-in-Harvest-Artificial-Wreath/5014645867,2-ft 22-in Harvest Artificial Wreath
Sullivans,23091CR,28.98,https://www.lowes.com/pd/Sullivans-0-9-ft-11-in-Berries-Artificial-Wreath/5015161629,0.9-ft 11-in Berries Artificial Wreath
Nearly Natural,W1216,43.65,https://www.lowes.com/pd/Nearly-Natural-22-in-Leaves-Artificial-Wreath/5013548457,22-in Leaves Artificial Wreath
Worth Imports,9117,25.48,https://www.lowes.com/pd/Worth-Imports-5-5-ft-66-in-Leaves-Artificial-Garland/5014611585,5.5-ft Leaves Artificial Garland
Nearly Natural,W1250,39.94,https://www.lowes.com/pd/Nearly-Natural-1-7-ft-20-in-Pumpkin-Artificial-Wreath/5013823381,1.7-ft 20-in Pumpkin Artificial Wreath
Sullivans,BTTSW4,26.98,https://www.lowes.com/pd/Sullivans-0-8-ft-10-in-Berries-Artificial-Wreath/5015161685,0.8-ft 10-in Berries Artificial Wreath
Northlight,34868423,53.98,https://www.lowes.com/pd/Northlight-5-ft-Harvest-Artificial-Garland/5015205639,5-ft Harvest Artificial Garland
National Tree Company,RAHV-15560W22,55.98,https://www.lowes.com/pd/National-Tree-Company-2-ft-22-in-Harvest-Artificial-Wreath/5004299603,2-ft 22-in Harvest Artificial Wreath
Northlight,34868446,23.98,https://www.lowes.com/pd/Northlight-0-5-ft-Harvest-Artificial-Swag/5015205647,0.5-ft Harvest Artificial Swag
National Tree Company,RAHV-20101020W,95.64,https://www.lowes.com/pd/National-Tree-Company-2-7-ft-32-in-Harvest-Artificial-Wreath/5013935241,2.7-ft 32-in Harvest Artificial Wreath
Nearly Natural,W1121,80.35,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Harvest-Artificial-Wreath/5013823279,2-ft 24-in Harvest Wreath
Nearly Natural,4810,68.61,https://www.lowes.com/pd/Nearly-Natural-24-in-Multicolor-Indoor-Leaf-Artificial-Thanksgiving-Wreath/1000795388,2-ft 24-in Leaves Artificial Wreath
Northlight,35644464,76.98,https://www.lowes.com/pd/Northlight-24-in-Purple-Indoor-Hanging-Artificial-Wreath/5014356707,0.67-ft 24-in Artificial Wreath
National Tree Company,RAHV-SW060135A,39.98,https://www.lowes.com/pd/National-Tree-Company-0-5-ft-24-in-Harvest-Artificial-Wreath/5004299601,0.5-ft 24-in Harvest Artificial Wreath
Worth Imports,7183,25.48,https://www.lowes.com/pd/Worth-Imports-5-Mini-Chinese-Lantern-Garland/5002008989,5-ft Leaves Artificial Garland
Worth Imports,9945,52.33,https://www.lowes.com/pd/Worth-Imports-18-in-Fall-Leaves-Pumpkin-Berries-Cornucopia-Wreath/5013805321,"18-in Artificial Cornucopia Fall Wreath with Leaves, Berries, Pumpkin, Sunflower - Indoor Use - Orange Finish - Autumn Decoration"
Nearly Natural,W1218,48.22,https://www.lowes.com/pd/Nearly-Natural-24-in-Pumpkin-Artificial-Wreath/5013548377,24-in Pumpkin Artificial Wreath
Northlight,35688252,84.98,https://www.lowes.com/pd/Northlight-0-5-ft-24-in-Harvest-Artificial-Wreath/5015205679,0.5-ft 24-in Harvest Artificial Wreath
Worth Imports,9127,24.48,https://www.lowes.com/pd/Worth-Imports-5-41-ft-Leaves-Artificial-Garland/5015355149,5.41-ft Leaves Artificial Garland
Nearly Natural,W1188,68.98,https://www.lowes.com/pd/Nearly-Natural-2-2-ft-26-in-Pumpkin-Artificial-Wreath/5013823357,2.2-ft 26-in Pumpkin Artificial Wreath
Nearly Natural,W1228,37.7,https://www.lowes.com/pd/Nearly-Natural-2-9-ft-Harvest-Artificial-Swag/5013823207,2.9-ft Harvest Artificial Swag
Nearly Natural,4498,59.3,https://www.lowes.com/pd/Nearly-Natural-30-in-Fall-Magnolia-Leaf-and-Berries-Artificial-Wreath/1003258850,30-in Leaves Artificial Wreath
Northlight,35688254,81.98,https://www.lowes.com/pd/Northlight-0-5-ft-24-in-Harvest-Artificial-Wreath/5015205671,0.5-ft 24-in Harvest Artificial Wreath
Worth Imports,7387,45.0,https://www.lowes.com/pd/Worth-Imports-24-in-Wild-Fall-Leaf-Twig-Wreath/5000119953,2-ft 24-in Leaves Artificial Wreath
National Tree Company,RAHV-W060669A,63.95,https://www.lowes.com/pd/National-Tree-Company-20-in-Outdoor-White-Pinecones-Artificial-Christmas-Wreath/5001995581,0.5-ft 20-in Pumpkin Artificial Wreath
Northlight,35688253,81.98,https://www.lowes.com/pd/Northlight-0-5-ft-24-in-Harvest-Artificial-Wreath/5015205621,0.5-ft 24-in Harvest Artificial Wreath
NA,MFGWF5802X24X,37.99,https://www.lowes.com/pd/24-inch-Wreath-with-Ruscus-and-Oak-Leaves/5015731075,24 inch Wreath with Ruscus and Oak Leaves
Northlight,34868421,50.98,https://www.lowes.com/pd/Northlight-0-5-ft-22-in-Harvest-Artificial-Wreath/5015205547,0.5-ft 22-in Harvest Artificial Wreath
Worth Imports,12019,50.48,https://www.lowes.com/pd/Worth-Imports-1-75-ft-21-in-Berries-Artificial-Wreath/5015355043,1.75-ft 21-in Berries Artificial Wreath
Northlight,34316662,49.98,https://www.lowes.com/pd/Northlight-1-83-ft-22-in-Harvest-Artificial-Wreath/5015205711,1.83-ft 22-in Harvest Artificial Wreath
Northlight,35182618,74.98,https://www.lowes.com/pd/Northlight-3-67-ft-22-in-Harvest-Artificial-Wreath/5015205691,3.67-ft 22-in Harvest Artificial Wreath
Nearly Natural,W1255,64.98,https://www.lowes.com/pd/Nearly-Natural-2-ft-24-in-Harvest-Artificial-Wreath/5013823347,2-ft 24-in Harvest Artificial Wreath
Glitzhome,2006300035,63.98,https://www.lowes.com/pd/Glitzhome-2-ft-24-in-Sunflowers-Artificial-Wreath/5015354803,2-ft 24-in Sunflowers Artificial Wreath
